City,Date,numPeople,numFamilies,Precipitation,Humidity,TempF,TempC,Tidal,Elevation
Kalimantan Tengah,2022-10-14,26183,7686,4.4,87.0,81.1,27.3,-0.013983402489626526,72.46484375
Jawa Tengah,2022-10-14,9400,1880,1.5,83.0,80.7,27.0,-0.008672199170124486,2632.81640625
Jawa Timur,2022-10-14,880,176,0.1,75.0,78.5,25.8,-0.01456431535269709,1072.65625
Lampung,2022-10-14,9118,2297,0.8,77.0,82.5,28.0,-0.005062240663900415,49.27734375
Jawa Barat,2022-10-14,321,107,0.1,75.0,78.5,25.8,-0.00709543568464731,733.0
Jawa Tengah,2022-10-13,1615,403,1.2,83.0,79.7,26.5,-0.009045643153526973,2632.81640625
Bengkulu,2022-10-13,570,114,0.7,82.0,77.6,25.4,-0.007012448132780079,659.7421875
Bali,2022-10-13,1940,388,0.9,82.0,81.4,27.4,0.0546473029045643,38.546875
Sulawesi Tengah,2022-10-12,350,70,2.4,90.0,78.2,25.6,-0.006099585062240667,1080.984375
Lampung,2022-10-12,100,20,1.0,78.0,82.1,27.8,-0.005062240663900414,49.27734375
Jawa Barat,2022-10-12,140,56,0.8,78.0,78.5,25.8,-0.007759336099585063,733.0
Sulawesi Barat,2022-10-12,560,112,0.3,78.0,78.7,25.9,-0.009419087136929466,349.03515625
Jawa Barat,2022-10-12,180,36,0.8,78.0,78.5,25.8,-0.007759336099585063,733.0
Jakarta Raya,2022-10-11,1691,567,3.8,69.0,85.8,29.9,-0.010082987551867225,10.2734375
Sulawesi Barat,2022-10-11,8416,2602,2.9,89.0,75.7,24.3,-0.006390041493775934,-1
Kalimantan Barat,2022-10-11,35429,11023,2.3,89.0,78.9,26.1,-0.016390041493775934,114.5390625
Sumatera Selatan,2022-10-11,1320,264,0.3,77.0,83.0,28.4,-0.007676348547717848,18.734375
Sumatera Utara,2022-10-10,935,187,2.6,75.0,83.3,28.5,-0.007053941908713691,1703.65625
Gorontalo,2022-10-10,1533,546,2.7,86.0,81.1,27.3,-0.00846473029045644,55.55078125
Maluku Utara,2022-10-09,150,30,2.6,73.0,83.4,28.6,-0.007551867219917012,157.203125
Banten,2022-10-09,3275,655,1.1,79.0,81.6,27.6,-0.0029045643153527015,64.37109375
Sulawesi Selatan,2022-10-09,124,39,0.7,71.0,85.2,29.5,0.0013278008298755219,532.796875
Kalimantan Barat,2022-10-09,21337,6850,6.0,95.0,75.0,23.9,-0.013070539419087139,114.5390625
Sulawesi Selatan,2022-10-09,620,124,0.7,71.0,85.2,29.5,0.0013278008298755219,532.796875
